Intervention Name,Programmes/Organisations,Intervention focus,Minimum age in months,Maximum age in months,Age range (free text),Primary Domain/Need,Additional Domain/Needs,Universal/Targeted/Specialist,Hours,Contacts,Postcode,Funder,Referral routes,Notes,Professional group,Outcome assessment,Programmes/Organisations 2
1-to-1 play support and specialist provision,Play Service,Play,60,84,5+,Additional learning needs,Social and emotional,Specialist,"Wrap-around (before and after school day),Evenings and weekends",Julian Davenne,Various,,Self referral,To support children with additional needs to attend playschemes. There are also specific clubs and weekend respite provision aimed at children and young people with disabilities. https://www.torfaen.gov.uk/en/EducationLearning/ChildrenandYoungPeople/PlayService/CommunityPlayClubs/Play-Clubs.aspx ,,,
Afterschool provision,"Play Service,""Education, Torfaen County Borough Council""",,48,84,all primary ages,Cognitive development/Education,,Universal,,Naomi Evans,,,,Gwent wide ,,,
ALN Link Officers (Inclusion team),"""Education, Torfaen County Borough Council""",,48,84,Only just starting to engage with early years,Additional learning needs,,Targeted,,Sarah Hayes,,,,,,,
ALN Support (within childcare offer),"""Education, Torfaen County Borough Council""",,24,48,,Additional learning needs,,Targeted,,,,,,offers support to both parents and childcare providers,,,
Autism Spectrum Disorder Support Service,"""Education, Torfaen County Borough Council""",,24,84,"from diagnosis, earliest plausible is 48 months",Additional learning needs,,Specialist,,Cheryl Deneen,,,,https://www.torfaen.gov.uk/en/EducationLearning/SpecialeducationalneedsSEN/Specialist-Support-Services/Autistic-Spectrum-Disorder.aspx provides tailored support,,,
Baby Club,Flying Start,"We run drop-in sessions like Baby Club and Family Fun Time.  These are focused on playing, learning and growing",6,12,6-12 months,Social and emotional,,Targeted,,,,,,Run by parenting team or early language development?,,,
Baby Rhymetime,Library Service,Speech & language,0,3,0-3 (parents' choice),"Speech, language and communication",Cognitive development,Universal,,,,,Self referral,More details needed - run by all libraries?,,,
Bookstart,BookTrust Cymru,,0,84,,"Speech, language and communication",,Universal,,,,Booktrust,,Led by Booktrust ,,,
Breastfeeding peer support groups,Flying Start,Breastfeeding,0,13,0-13 months,Physical development and health,,Targeted,,,,,,,,,
Bron Afon Aspire Home Family Links,"Families First Torfaen,Bron Afon",,61,84,Commissioned for Key Stage 2 however supporting all ages apart from EY with own funded activity. Up to 18,Vulnerable families,Social and emotional,Targeted,,Angela Lewis,,,Professional referral,,,,
CAMHS,ABUHB (non-FS provision),,,,Seldom work with children under 7,Social and emotional,,Specialist,,,,,,"https://abuhb.nhs.wales/community-services/mental-health/child-and-adolescent-mental-health-camhs/
Attends SPACE-
Wellbeing meetings, so may be involved with children 0-7 years, but would not typically be working directly with a child in this age group
",,,
Care Coordination for children with complex health needs,Families First Torfaen,,0,84,0- 25 years,Physical development and health,,Targeted,,Domonie Jones,,,Professional referral,,,,
Child and Adolescent Learning Disabilities Service (CALDS),ABUHB (non-FS provision),,0,84,0-25 yrs,Additional learning needs,,Specialist,,,,,Self referral,https://abuhb.nhs.wales/community-services/mental-health/learning-disabilities/,,,
Child Health Clinics,ABUHB (non-FS provision),,0,48,,Physical development and health,"Social and emotional,Cognitive development,""Speech, language and communication""",Universal,,,,,,https://abuhb.nhs.wales/community-services/community-nursing/child-health-clinics/,,,
Childcare (Flying Start),"Flying Start,""Education, Torfaen County Borough Council""",Childcare entitlement,24,48,2-4 years,Cognitive development/Education,Social and emotional,Targeted,,"Emma Treadgold,Hayley Morgan",various,Flying Start,,,,,
Childcare Offer for Wales,"""Education, Torfaen County Borough Council""",,36,48,3-4 year olds,Cognitive development/Education,,Universal,,,,,Self referral,https://gov.wales/childcare-offer-for-wales-campaign,,,
Circle of Security Group,Flying Start,Attachment; parent-child relationships,4,72,4 months - 6 years,Social and emotional,,Targeted,,Julie Simpson,,Flying Start,,"8 week programme, aimed at parents where there may be underlying difficulty in parent/child attachment and relatipoonship",,,
